Type,SKU,Name,Published,Regular price,Sale price,Categories,Images,Short description,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Manage stock?,Stock
variation,TS-105-1,Hello Kitty Handmade Dễ Thương - 30cm,1,380000.0,334000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-handmade.jpg,,TS-105,Kích thước,30cm,,1,1,50
variation,TS-105-2,Hello Kitty Handmade Dễ Thương - 50cm,1,450000.0,396000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-handmade.jpg,,TS-105,Kích thước,50cm,,1,1,50
variation,TS-105-3,Hello Kitty Handmade Dễ Thương - 70cm,1,520000.0,457000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-handmade.jpg,,TS-105,Kích thước,70cm,,1,1,50
variable,TS-106,Hello Kitty Ôm Cá,1,,,Gấu bông hoạt hình > Hello Kitty,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-omca.jpg,"Hello Kitty Ôm Cá được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
variation,TS-106-1,Hello Kitty Ôm Cá - 30cm,1,210000.0,184000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-omca.jpg,,TS-106,Kích thước,30cm,,1,1,50
variation,TS-106-2,Hello Kitty Ôm Cá - 50cm,1,280000.0,246000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-omca.jpg,,TS-106,Kích thước,50cm,,1,1,50
variation,TS-106-3,Hello Kitty Ôm Cá - 70cm,1,350000.0,308000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-omca.jpg,,TS-106,Kích thước,70cm,,1,1,50
variable,TS-107,Hello Kitty Cầm Bó Hoa,1,,,Gấu bông hoạt hình > Hello Kitty,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-camhoa.jpg,"Hello Kitty Cầm Bó Hoa được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
variation,TS-107-1,Hello Kitty Cầm Bó Hoa - 30cm,1,270000.0,237000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-camhoa.jpg,,TS-107,Kích thước,30cm,,1,1,50
variation,TS-107-2,Hello Kitty Cầm Bó Hoa - 50cm,1,340000.0,299000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-camhoa.jpg,,TS-107,Kích thước,50cm,,1,1,50
variation,TS-107-3,Hello Kitty Cầm Bó Hoa - 70cm,1,410000.0,360000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-camhoa.jpg,,TS-107,Kích thước,70cm,,1,1,50
variable,TS-108,Hello Kitty Lông Xù Mềm Mịn,1,,,Gấu bông hoạt hình > Hello Kitty,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-longxu.jpeg,"Hello Kitty Lông Xù Mềm Mịn được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
variation,TS-108-1,Hello Kitty Lông Xù Mềm Mịn - 30cm,1,220000.0,193000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-longxu.jpeg,,TS-108,Kích thước,30cm,,1,1,50
variation,TS-108-2,Hello Kitty Lông Xù Mềm Mịn - 50cm,1,290000.0,255000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-longxu.jpeg,,TS-108,Kích thước,50cm,,1,1,50
variation,TS-108-3,Hello Kitty Lông Xù Mềm Mịn - 70cm,1,360000.0,316000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-longxu.jpeg,,TS-108,Kích thước,70cm,,1,1,50
variable,TS-109,Hello Kitty Baby Ôm Bình Sữa,1,,,Gấu bông hoạt hình > Hello Kitty,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-ombinhsua.jpg,"Hello Kitty Baby Ôm Bình Sữa được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
variation,TS-109-1,Hello Kitty Baby Ôm Bình Sữa - 30cm,1,230000.0,202000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-ombinhsua.jpg,,TS-109,Kích thước,30cm,,1,1,50
variation,TS-109-2,Hello Kitty Baby Ôm Bình Sữa - 50cm,1,300000.0,264000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-ombinhsua.jpg,,TS-109,Kích thước,50cm,,1,1,50
variation,TS-109-3,Hello Kitty Baby Ôm Bình Sữa - 70cm,1,370000.0,325000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kitty-ombinhsua.jpg,,TS-109,Kích thước,70cm,,1,1,50
variable,TS-110,Gấu Bông Kuromi Quỷ Nhỏ Tím,1,,,Gấu bông hoạt hình > Kuromi - Melody,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-quynhotim.jpg,"Gấu Bông Kuromi Quỷ Nhỏ Tím được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
variation,TS-110-1,Gấu Bông Kuromi Quỷ Nhỏ Tím - 30cm,1,380000.0,334000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-quynhotim.jpg,,TS-110,Kích thước,30cm,,1,1,50
variation,TS-110-2,Gấu Bông Kuromi Quỷ Nhỏ Tím - 50cm,1,450000.0,396000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-quynhotim.jpg,,TS-110,Kích thước,50cm,,1,1,50
variation,TS-110-3,Gấu Bông Kuromi Quỷ Nhỏ Tím - 70cm,1,520000.0,457000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-quynhotim.jpg,,TS-110,Kích thước,70cm,,1,1,50
variable,TS-111,My Melody Trùm Đầu Hồng Đáng Yêu,1,,,Gấu bông hoạt hình > Kuromi - Melody,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-trumdauhong.webp,"My Melody Trùm Đầu Hồng Đáng Yêu được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
variation,TS-111-1,My Melody Trùm Đầu Hồng Đáng Yêu - 30cm,1,130000.0,114000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-trumdauhong.webp,,TS-111,Kích thước,30cm,,1,1,50
variation,TS-111-2,My Melody Trùm Đầu Hồng Đáng Yêu - 50cm,1,200000.0,176000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-trumdauhong.webp,,TS-111,Kích thước,50cm,,1,1,50
variation,TS-111-3,My Melody Trùm Đầu Hồng Đáng Yêu - 70cm,1,270000.0,237000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-trumdauhong.webp,,TS-111,Kích thước,70cm,,1,1,50
variable,TS-112,Kuromi Mặc Váy Lolita Sang Chảnh,1,,,Gấu bông hoạt hình > Kuromi - Melody,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-macvay.jpg,"Kuromi Mặc Váy Lolita Sang Chảnh được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
variation,TS-112-1,Kuromi Mặc Váy Lolita Sang Chảnh - 30cm,1,230000.0,202000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-macvay.jpg,,TS-112,Kích thước,30cm,,1,1,50
variation,TS-112-2,Kuromi Mặc Váy Lolita Sang Chảnh - 50cm,1,300000.0,264000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-macvay.jpg,,TS-112,Kích thước,50cm,,1,1,50
variation,TS-112-3,Kuromi Mặc Váy Lolita Sang Chảnh - 70cm,1,370000.0,325000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-macvay.jpg,,TS-112,Kích thước,70cm,,1,1,50
variable,TS-113,My Melody Ôm Dâu Tây Chín,1,,,Gấu bông hoạt hình > Kuromi - Melody,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-omdautay.jpg,"My Melody Ôm Dâu Tây Chín được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
variation,TS-113-1,My Melody Ôm Dâu Tây Chín - 30cm,1,330000.0,290000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-omdautay.jpg,,TS-113,Kích thước,30cm,,1,1,50
variation,TS-113-2,My Melody Ôm Dâu Tây Chín - 50cm,1,400000.0,352000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-omdautay.jpg,,TS-113,Kích thước,50cm,,1,1,50
variation,TS-113-3,My Melody Ôm Dâu Tây Chín - 70cm,1,470000.0,413000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-omdautay.jpg,,TS-113,Kích thước,70cm,,1,1,50
variable,TS-114,Set Đôi Kuromi & My Melody Kỷ Niệm,1,,,Gấu bông hoạt hình > Kuromi - Melody,hhttp://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-setkyniem.webp,"Set Đôi Kuromi & My Melody Kỷ Niệm được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
variation,TS-114-1,Set Đôi Kuromi & My Melody Kỷ Niệm - 30cm,1,380000.0,334000.0,,hhttp://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-setkyniem.webp,,TS-114,Kích thước,30cm,,1,1,50
variation,TS-114-2,Set Đôi Kuromi & My Melody Kỷ Niệm - 50cm,1,450000.0,396000.0,,hhttp://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-setkyniem.webp,,TS-114,Kích thước,50cm,,1,1,50
variation,TS-114-3,Set Đôi Kuromi & My Melody Kỷ Niệm - 70cm,1,520000.0,457000.0,,hhttp://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-setkyniem.webp,,TS-114,Kích thước,70cm,,1,1,50
variable,TS-115,Kuromi Biểu Cảm Hài Hước,1,,,Gấu bông hoạt hình > Kuromi - Melody,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-bieucam.png,"Kuromi Biểu Cảm Hài Hước được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
variation,TS-115-1,Kuromi Biểu Cảm Hài Hước - 30cm,1,270000.0,237000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-bieucam.png,,TS-115,Kích thước,30cm,,1,1,50
variation,TS-115-2,Kuromi Biểu Cảm Hài Hước - 50cm,1,340000.0,299000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-bieucam.png,,TS-115,Kích thước,50cm,,1,1,50
variation,TS-115-3,Kuromi Biểu Cảm Hài Hước - 70cm,1,410000.0,360000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-bieucam.png,,TS-115,Kích thước,70cm,,1,1,50
variable,TS-116,My Melody Ôm Trái Tim,1,,,Gấu bông hoạt hình > Kuromi - Melody,http://localhost/teddy-shop/wp-content/uploads/2026/05/melody-omtym.png,"My Melody Ôm Trái Tim được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
variation,TS-116-1,My Melody Ôm Trái Tim - 30cm,1,290000.0,255000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/melody-omtym.png,,TS-116,Kích thước,30cm,,1,1,50
variation,TS-116-2,My Melody Ôm Trái Tim - 50cm,1,360000.0,316000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/melody-omtym.png,,TS-116,Kích thước,50cm,,1,1,50
variation,TS-116-3,My Melody Ôm Trái Tim - 70cm,1,430000.0,378000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/melody-omtym.png,,TS-116,Kích thước,70cm,,1,1,50
variable,TS-117,Kuromi Phiên Bản Giới Hạn,1,,,Gấu bông hoạt hình > Kuromi - Melody,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-limit.webp,"Kuromi Phiên Bản Giới Hạn được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
variation,TS-117-1,Kuromi Phiên Bản Giới Hạn - 30cm,1,220000.0,193000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-limit.webp,,TS-117,Kích thước,30cm,,1,1,50
variation,TS-117-2,Kuromi Phiên Bản Giới Hạn - 50cm,1,290000.0,255000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-limit.webp,,TS-117,Kích thước,50cm,,1,1,50
variation,TS-117-3,Kuromi Phiên Bản Giới Hạn - 70cm,1,360000.0,316000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-limit.webp,,TS-117,Kích thước,70cm,,1,1,50
variable,TS-118,My Melody Đuôi Cá,1,,,Gấu bông hoạt hình > Kuromi - Melody,http://localhost/teddy-shop/wp-content/uploads/2026/05/melody-duoica.jpg,"My Melody Đuôi Cá được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
variation,TS-118-1,My Melody Đuôi Cá - 30cm,1,180000.0,158000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/melody-duoica.jpg,,TS-118,Kích thước,30cm,,1,1,50
variation,TS-118-2,My Melody Đuôi Cá - 50cm,1,250000.0,220000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/melody-duoica.jpg,,TS-118,Kích thước,50cm,,1,1,50
variation,TS-118-3,My Melody Đuôi Cá - 70cm,1,320000.0,281000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/melody-duoica.jpg,,TS-118,Kích thước,70cm,,1,1,50
variable,TS-119,Kuromi Mặc Váy Kẻ Sọc,1,,,Gấu bông hoạt hình > Kuromi - Melody,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-vaykesoc.jpg,"Kuromi Mặc Váy Kẻ Sọc được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
variation,TS-119-1,Kuromi Mặc Váy Kẻ Sọc - 30cm,1,360000.0,316000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-vaykesoc.jpg,,TS-119,Kích thước,30cm,,1,1,50
variation,TS-119-2,Kuromi Mặc Váy Kẻ Sọc - 50cm,1,430000.0,378000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-vaykesoc.jpg,,TS-119,Kích thước,50cm,,1,1,50
variation,TS-119-3,Kuromi Mặc Váy Kẻ Sọc - 70cm,1,500000.0,440000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/kuromi-vaykesoc.jpg,,TS-119,Kích thước,70cm,,1,1,50
variable,TS-120,Thỏ Cảnh Sát Judy Hopps Nhồi Bông,1,,,Gấu bông hoạt hình > Zootopia,http://localhost/teddy-shop/wp-content/uploads/2026/05/Judy-tho.jpg,"Thỏ Cảnh Sát Judy Hopps Nhồi Bông được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
variation,TS-120-1,Thỏ Cảnh Sát Judy Hopps Nhồi Bông - 30cm,1,140000.0,123000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/Judy-tho.jpg,,TS-120,Kích thước,30cm,,1,1,50
variation,TS-120-2,Thỏ Cảnh Sát Judy Hopps Nhồi Bông - 50cm,1,210000.0,184000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/Judy-tho.jpg,,TS-120,Kích thước,50cm,,1,1,50
variation,TS-120-3,Thỏ Cảnh Sát Judy Hopps Nhồi Bông - 70cm,1,280000.0,246000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/Judy-tho.jpg,,TS-120,Kích thước,70cm,,1,1,50
variable,TS-121,Cáo Nick Wilde Ranh Mãnh,1,,,Gấu bông hoạt hình > Zootopia,http://localhost/teddy-shop/wp-content/uploads/2026/05/Nick-ranhmanh.jpg,"Cáo Nick Wilde Ranh Mãnh được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
variation,TS-121-1,Cáo Nick Wilde Ranh Mãnh - 30cm,1,420000.0,369000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/Nick-ranhmanh.jpg,,TS-121,Kích thước,30cm,,1,1,50
variation,TS-121-2,Cáo Nick Wilde Ranh Mãnh - 50cm,1,490000.0,431000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/Nick-ranhmanh.jpg,,TS-121,Kích thước,50cm,,1,1,50
variation,TS-121-3,Cáo Nick Wilde Ranh Mãnh - 70cm,1,560000.0,492000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/Nick-ranhmanh.jpg,,TS-121,Kích thước,70cm,,1,1,50
variable,TS-122,Lười Flash Chậm Chạp Đáng Yêu,1,,,Gấu bông hoạt hình > Zootopia,http://localhost/teddy-shop/wp-content/uploads/2026/05/zootopia-luoi.jpg,"Lười Flash Chậm Chạp Đáng Yêu được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
variation,TS-122-1,Lười Flash Chậm Chạp Đáng Yêu - 30cm,1,260000.0,228000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/zootopia-luoi.jpg,,TS-122,Kích thước,30cm,,1,1,50
variation,TS-122-2,Lười Flash Chậm Chạp Đáng Yêu - 50cm,1,330000.0,290000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/zootopia-luoi.jpg,,TS-122,Kích thước,50cm,,1,1,50
variation,TS-122-3,Lười Flash Chậm Chạp Đáng Yêu - 70cm,1,400000.0,352000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/zootopia-luoi.jpg,,TS-122,Kích thước,70cm,,1,1,50
variable,TS-123,Judy Hopps Phiên Bản Mặc Thường Phục,1,,,Gấu bông hoạt hình > Zootopia,http://localhost/teddy-shop/wp-content/uploads/2026/05/Judy-thuongphuc.jpg,"Judy Hopps Phiên Bản Mặc Thường Phục được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
variation,TS-123-1,Judy Hopps Phiên Bản Mặc Thường Phục - 30cm,1,240000.0,211000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/Judy-thuongphuc.jpg,,TS-123,Kích thước,30cm,,1,1,50
variation,TS-123-2,Judy Hopps Phiên Bản Mặc Thường Phục - 50cm,1,310000.0,272000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/Judy-thuongphuc.jpg,,TS-123,Kích thước,50cm,,1,1,50
variation,TS-123-3,Judy Hopps Phiên Bản Mặc Thường Phục - 70cm,1,380000.0,334000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/Judy-thuongphuc.jpg,,TS-123,Kích thước,70cm,,1,1,50
variable,TS-124,Cáo Nick Mặc Áo Sơ Mi Hoa,1,,,Gấu bông hoạt hình > Zootopia,http://localhost/teddy-shop/wp-content/uploads/2026/05/Nick-macsomihoa.jpg,"Cáo Nick Mặc Áo Sơ Mi Hoa được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
variation,TS-124-1,Cáo Nick Mặc Áo Sơ Mi Hoa - 30cm,1,410000.0,360000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/Nick-macsomihoa.jpg,,TS-124,Kích thước,30cm,,1,1,50
variation,TS-124-2,Cáo Nick Mặc Áo Sơ Mi Hoa - 50cm,1,480000.0,422000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/Nick-macsomihoa.jpg,,TS-124,Kích thước,50cm,,1,1,50
variation,TS-124-3,Cáo Nick Mặc Áo Sơ Mi Hoa - 70cm,1,550000.0,484000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/Nick-macsomihoa.jpg,,TS-124,Kích thước,70cm,,1,1,50
variable,TS-125,Báo Cheetah Cảnh Sát Béo Ú,1,,,Gấu bông hoạt hình > Zootopia,http://localhost/teddy-shop/wp-content/uploads/2026/05/zootopia-bao.jpg,"Báo Cheetah Cảnh Sát Béo Ú được làm từ chất liệu cao cấp, bông PP 3D tinh khiết siêu mềm mịn. Thiết kế tinh xảo, đường may chắc chắn, phù hợp làm quà tặng hoặc trang trí.",,Kích thước,"30cm, 50cm, 70cm",1.0,1,1,
variation,TS-125-1,Báo Cheetah Cảnh Sát Béo Ú - 30cm,1,340000.0,299000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/zootopia-bao.jpg,,TS-125,Kích thước,30cm,,1,1,50
variation,TS-125-2,Báo Cheetah Cảnh Sát Béo Ú - 50cm,1,410000.0,360000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/zootopia-bao.jpg,,TS-125,Kích thước,50cm,,1,1,50
variation,TS-125-3,Báo Cheetah Cảnh Sát Béo Ú - 70cm,1,480000.0,422000.0,,http://localhost/teddy-shop/wp-content/uploads/2026/05/zootopia-bao.jpg,,TS-125,Kích thước,70cm,,1,1,50
